dogBreed,dogBreedLabel,countryLabel,height,heightQualifierLabel,mass,massQualifierLabel,lifeExpectancy,lifeExpectancyQualifierLabel
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,28,максимум,4,минимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,28,максимум,3.5,минимум,,
http://www.wikidata.org/entity/Q38394,Трансильванская гончая,Венгрия,65,максимум,25,минимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,63,минимум,35,максимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,63,минимум,45,максимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,63,минимум,40,минимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,63,минимум,32,минимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,68,минимум,35,максимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,68,минимум,45,максимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,68,минимум,40,минимум,,
http://www.wikidata.org/entity/Q38358,Доберман,Германия,68,минимум,32,минимум,,
http://www.wikidata.org/entity/Q38352,Лхаса апсо,Тибет,25,,,,,
http://www.wikidata.org/entity/Q38336,Денди-динмонт-терьер,Шотландия,,,11,максимум,,
http://www.wikidata.org/entity/Q38336,Денди-динмонт-терьер,Шотландия,,,8,минимум,,
http://www.wikidata.org/entity/Q38255,Итальянский бракк,Италия,55,минимум,40,максимум,,
http://www.wikidata.org/entity/Q38255,Итальянский бракк,Италия,55,минимум,25,минимум,,
http://www.wikidata.org/entity/Q38403,Кромфорлендер,Германия,46,максимум,9,минимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,44,минимум,11,максимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,44,минимум,13,максимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,44,минимум,10,минимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,44,минимум,8,минимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,46,минимум,11,максимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,46,минимум,13,максимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,46,минимум,10,минимум,,
http://www.wikidata.org/entity/Q38262,Чирнеко дель Этна,Италия,46,минимум,8,минимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,23,минимум,5,максимум,,
http://www.wikidata.org/entity/Q38295,Котон-де-тулеар,Мадагаскар,23,минимум,6,максимум,,
