dogBreed,dogBreedLabel,countryLabel,height,heightQualifier,mass,massQualifier,lifeExpectancy,lifeExpectancyQualifier
http://www.wikidata.org/entity/Q37737,Брогольмер,Дания,70,,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q37878,Бордоский дог,Франция,60,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q37878,Бордоский дог,Франция,66,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q37878,Бордоский дог,Франция,58,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q37878,Бордоский дог,Франция,68,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,64,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,64,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,61,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,61,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,66,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,66,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,69,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38080,бульмастиф,Великобритания,69,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,66,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,70,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,71,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38467,Кувас,Венгрия,76,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,75,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,68,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,65,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38529,неаполитанский мастиф,Древний Рим,60,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38570,Алабай,Средняя Азия,70,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38570,Алабай,Средняя Азия,65,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,http://www.wikidata.org/entity/Q10578722,50,http://www.wikidata.org/entity/Q10578722,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10585806,,
http://www.wikidata.org/entity/Q38634,Чёрный терьер,СССР,72,http://www.wikidata.org/entity/Q10585806,50,http://www.wikidata.org/entity/Q10578722,,
